03-13 22:39:28.821   55384-55384   A03D00/com.lin...otosend/JSAPP  com.lingyu.photosend  I     PtpConnectionManager ✅【STEP 2 成功】TCP 连接建立成功！状态：1
03-13 22:39:28.821   55384-55384   A03D00/com.lin...otosend/JSAPP  com.lingyu.photosend  I     PtpConnectionManager [STEP 2 完成] 设置 connectionState = Connected
03-13 22:39:28.821   55384-55384   A03D00/com.lin...otosend/JSAPP  com.lingyu.photosend  I     PtpConnectionManager 
                                                                                               [STEP 3] 等待相机准备就绪...
03-13 22:39:28.821   55384-55384   A03D00/com.lin...otosend/JSAPP  com.lingyu.photosend  I     PtpConnectionManager [STEP 3] 开始休眠 200ms
03-13 22:39:29.022   55384-55384   A03D00/com.lin...otosend/JSAPP  com.lingyu.photosend  I     PtpConnectionManager ✅【STEP 3 完成】相机已准备就绪，继续 STEP 4
03-13 22:39:29.022   55384-55384   A03D00/com.lin...otosend/JSAPP  com.lingyu.photosend  I     PtpConnectionManager 
                                                                                               ==========================================
03-13 22:39:29.022   55384-55384   A03D00/com.lin...otosend/JSAPP  com.lingyu.photosend  I     PtpConnectionManager [STEP 4] PTP/IP 握手：发送 Init_Command_Request...
03-13 22:39:29.022   55384-55384   A03D00/com.lin...otosend/JSAPP  com.lingyu.photosend  I     PtpConnectionManager [STEP 4] 当前连接状态：2
03-13 22:39:29.022   55384-55384   A03D00/com.lin...otosend/JSAPP  com.lingyu.photosend  I     PtpConnectionManager [STEP 4] TCP Socket 状态：正常
03-13 22:39:29.022   55384-55384   A03D00/com.lin...otosend/JSAPP  com.lingyu.photosend  I     PtpConnectionManager [STEP 4] 调用 sendInitCommandRequest()
03-13 22:39:29.022   55384-55384   A03D00/com.lin...otosend/JSAPP  com.lingyu.photosend  I     PtpConnectionManager [sendInitCommandRequest] ✅ 开始构造 Init_Command_Request 包（模拟智能设备）...
03-13 22:39:29.022   55384-55384   A03D00/com.lin...otosend/JSAPP  com.lingyu.photosend  I     PtpConnectionManager [sendInitCommandRequest] 发送 Init_Command_Request 包，总长度：34 字节
03-13 22:39:29.022   55384-55384   A03D00/com.lin...otosend/JSAPP  com.lingyu.photosend  I     PtpConnectionManager [sendInitCommandRequest] 开始发送数据...
03-13 22:39:29.022   55384-55384   A03D00/com.lin...otosend/JSAPP  com.lingyu.photosend  I     PtpConnectionManager [writeData] 准备发送 34 字节
03-13 22:39:29.023   55384-55384   A03D00/com.lin...otosend/JSAPP  com.lingyu.photosend  I     PtpConnectionManager ✅【writeData】数据发送成功
03-13 22:39:29.023   55384-55384   A03D00/com.lin...otosend/JSAPP  com.lingyu.photosend  I     PtpConnectionManager [sendInitCommandRequest] ✅ 数据发送成功，等待 Init_Command_Ack...
03-13 22:39:29.023   55384-55384   A03D00/com.lin...otosend/JSAPP  com.lingyu.photosend  I     PtpConnectionManager [sendInitCommandRequest] 开始读取响应...
03-13 22:39:29.023   55384-55384   A03D00/com.lin...otosend/JSAPP  com.lingyu.photosend  I     PtpConnectionManager [sendInitCommandRequest] 第一步：读取包头（8字节）...
03-13 22:39:29.023   55384-55384   A03D00/com.lin...otosend/JSAPP  com.lingyu.photosend  I     PtpConnectionManager [readBytes] 开始读取 8 字节，当前缓存 0 字节...
03-13 22:39:29.023   55384-55384   A03D00/com.lin...otosend/JSAPP  com.lingyu.photosend  I     PtpConnectionManager [readBytes] 已订阅 message 事件，等待数据...
03-13 22:39:29.054   55384-55384   A03D00/com.lin...otosend/JSAPP  com.lingyu.photosend  I     PtpConnectionManager [readBytes] ✅ 成功读取 8 字节，剩余缓存 48 字节
03-13 22:39:29.054   55384-55384   A03D00/com.lin...otosend/JSAPP  com.lingyu.photosend  I     PtpConnectionManager [sendInitCommandRequest] 包头解析：length=56, type=2
03-13 22:39:29.054   55384-55384   A03D00/com.lin...otosend/JSAPP  com.lingyu.photosend  I     PtpConnectionManager [sendInitCommandRequest] 第二步：读取包体（48字节）...
03-13 22:39:29.054   55384-55384   A03D00/com.lin...otosend/JSAPP  com.lingyu.photosend  I     PtpConnectionManager [readBytes] ✅ 直接从缓存读取 48 字节，剩余缓存 0 字节
03-13 22:39:29.054   55384-55384   A03D00/com.lin...otosend/JSAPP  com.lingyu.photosend  I     PtpConnectionManager [sendInitCommandRequest] ✅ 完整 Init_Command_Ack 包接收：56 字节
03-13 22:39:29.054   55384-55384   A03D00/com.lin...otosend/JSAPP  com.lingyu.photosend  I     PtpConnectionManager ✅【sendInitCommandRequest】收到 Init_Command_Ack，握手成功！
03-13 22:39:29.054   55384-55384   A03D00/com.lin...otosend/JSAPP  com.lingyu.photosend  I     PtpConnectionManager ✅ Nikon ZF 相机已接受连接
03-13 22:39:29.054   55384-55384   A03D00/com.lin...otosend/JSAPP  com.lingyu.photosend  I     PtpConnectionManager 【sendInitCommandRequest】Connection Number(偏移8)=1
03-13 22:39:29.054   55384-55384   A03D00/com.lin...otosend/JSAPP  com.lingyu.photosend  I     PtpConnectionManager 【sendInitCommandRequest】相机返回的 Connection Number: 1
03-13 22:39:29.054   55384-55384   A03D00/com.lin...otosend/JSAPP  com.lingyu.photosend  I     PtpConnectionManager ✅【sendInitCommandRequest】握手完成，Connection Number=1
03-13 22:39:29.054   55384-55384   A03D00/com.lin...otosend/JSAPP  com.lingyu.photosend  I     PtpConnectionManager 【sendInitCommandRequest】命令连接已稳定；OpenSession 将使用本地固定 PTP Session ID，事件连接将使用 Connection Number
03-13 22:39:29.054   55384-55384   A03D00/com.lin...otosend/JSAPP  com.lingyu.photosend  I     PtpConnectionManager [STEP 4 返回] sendInitCommandRequest 结果：成功 ✅
03-13 22:39:29.054   55384-55384   A03D00/com.lin...otosend/JSAPP  com.lingyu.photosend  I     PtpConnectionManager ✅【STEP 4 成功】PTP/IP 握手完成，相机已接受连接
03-13 22:39:29.054   55384-55384   A03D00/com.lin...otosend/JSAPP  com.lingyu.photosend  I     PtpConnectionManager 
                                                                                               ✅【PtpConnectionManager】TCP 命令连接阶段完成
03-13 22:39:29.054   55384-55384   A03D00/com.lin...otosend/JSAPP  com.lingyu.photosend  I     PtpConnectionManager [connect] 跳过初始事件连接，先保持命令连接稳定；待 OpenSession 成功后再尝试建立事件连接
03-13 22:39:29.054   55384-55384   A03D00/com.lin...otosend/JSAPP  com.lingyu.photosend  I     PtpConnectionManager 
                                                                                               ✅【PtpConnectionManager】握手完成，准备打开 PTP 会话
03-13 22:39:29.054   55384-55384   A03D00/com.lin...otosend/JSAPP  com.lingyu.photosend  I     PtpConnectionManager ==========================================
03-13 22:39:29.054   55384-55384   A03D00/com.lin...otosend/JSAPP  com.lingyu.photosend  I     PtpClient 【PtpClient】connect() 返回，结果：成功
03-13 22:39:29.054   55384-55384   A03D00/com.lin...otosend/JSAPP  com.lingyu.photosend  I     PtpClient ✅ 【PtpClient】TCP 连接成功：192.168.1.1:15740
03-13 22:39:29.054   55384-55384   A03D00/com.lin...otosend/JSAPP  com.lingyu.photosend  I     PtpClient 【PtpClient】步骤 2: 打开 PTP 会话...
03-13 22:39:29.054   55384-55384   A03D00/com.lin...otosend/JSAPP  com.lingyu.photosend  I     PtpClient 【PtpClient】准备调用 openSession(1)，握手 Connection Number=1...
03-13 22:39:29.054   55384-55384   A03D00/com.lin...otosend/JSAPP  com.lingyu.photosend  I     PtpConnectionManager 【PtpConnectionManager】==========================================
03-13 22:39:29.054   55384-55384   A03D00/com.lin...otosend/JSAPP  com.lingyu.photosend  I     PtpConnectionManager 【PtpConnectionManager】打开 PTP 会话 (ID=1)
03-13 22:39:29.054   55384-55384   A03D00/com.lin...otosend/JSAPP  com.lingyu.photosend  I     PtpConnectionManager 【PtpConnectionManager】==========================================
03-13 22:39:29.054   55384-55384   A03D00/com.lin...otosend/JSAPP  com.lingyu.photosend  I     PtpConnectionManager 【PtpConnectionManager】发送 OpenSession 命令 (0x1002)...
03-13 22:39:29.054   55384-55384   A03D00/com.lin...otosend/JSAPP  com.lingyu.photosend  I     PtpConnectionManager [buildCommandPacket] op=0x1002, tid=1, dataPhase=3, totalLength=22
03-13 22:39:29.054   55384-55384   A03D00/com.lin...otosend/JSAPP  com.lingyu.photosend  I     PtpConnectionManager [writeData] 准备发送 22 字节
